W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] 
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] *****************************************
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0908 14:17:42.036000 3256287 site-packages/torch/distributed/run.py:774] *****************************************
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
[lmdb_cache] ru_base_missing=0, topology_missing=0, trimer_missing=0, jobs=0, workers=0
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
reusing feature-cache diagnostics data/processed/mips_trimer_scage/diagnostics_PI1M_v2_mips_trimer_scage-starlink-backbone-mts-canonical-periodic-feature-v3-paper_corrected-hop2-manual_geom-repeat-unit-energytop4_cand8_full_hardtimeout45_fp-disabled_tok0.json
Created dataloader with 995799 samples
Created dataloader with 995799 samples
Created dataloader with 995799 samples
n_plus_2 teacher step=3080/5000 loss=0.05236 lr=8.533e-05
n_plus_2 teacher step=3100/5000 loss=0.05234 lr=8.445e-05
n_plus_2 teacher step=3120/5000 loss=0.05860 lr=8.356e-05
n_plus_2 teacher step=3140/5000 loss=0.04923 lr=8.267e-05
n_plus_2 teacher step=3160/5000 loss=0.05311 lr=8.178e-05
n_plus_2 teacher step=3180/5000 loss=0.04847 lr=8.089e-05
n_plus_2 teacher step=3200/5000 loss=0.05103 lr=8.000e-05
n_plus_2 teacher step=3220/5000 loss=0.04890 lr=7.911e-05
n_plus_2 teacher step=3240/5000 loss=0.05225 lr=7.822e-05
n_plus_2 teacher step=3260/5000 loss=0.05350 lr=7.733e-05
n_plus_2 teacher step=3280/5000 loss=0.04617 lr=7.645e-05
n_plus_2 teacher step=3300/5000 loss=0.04728 lr=7.556e-05
n_plus_2 teacher step=3320/5000 loss=0.04888 lr=7.467e-05
n_plus_2 teacher step=3340/5000 loss=0.05083 lr=7.378e-05
n_plus_2 teacher step=3360/5000 loss=0.06101 lr=7.289e-05
n_plus_2 teacher step=3380/5000 loss=0.04997 lr=7.200e-05
n_plus_2 teacher step=3400/5000 loss=0.04751 lr=7.111e-05
n_plus_2 teacher step=3420/5000 loss=0.05593 lr=7.022e-05
n_plus_2 teacher step=3440/5000 loss=0.05358 lr=6.933e-05
n_plus_2 teacher step=3460/5000 loss=0.05116 lr=6.845e-05
n_plus_2 teacher step=3480/5000 loss=0.05373 lr=6.756e-05
n_plus_2 teacher step=3500/5000 loss=0.05241 lr=6.667e-05
n_plus_2 teacher step=3520/5000 loss=0.04690 lr=6.578e-05
n_plus_2 teacher step=3540/5000 loss=0.05599 lr=6.489e-05
n_plus_2 teacher step=3560/5000 loss=0.05293 lr=6.400e-05
n_plus_2 teacher step=3580/5000 loss=0.04991 lr=6.311e-05
n_plus_2 teacher step=3600/5000 loss=0.05255 lr=6.222e-05
n_plus_2 teacher step=3620/5000 loss=0.04763 lr=6.133e-05
n_plus_2 teacher step=3640/5000 loss=0.04741 lr=6.045e-05
n_plus_2 teacher step=3660/5000 loss=0.04956 lr=5.956e-05
n_plus_2 teacher step=3680/5000 loss=0.05364 lr=5.867e-05
n_plus_2 teacher step=3700/5000 loss=0.04919 lr=5.778e-05
n_plus_2 teacher step=3720/5000 loss=0.05237 lr=5.689e-05
n_plus_2 teacher step=3740/5000 loss=0.04728 lr=5.600e-05
n_plus_2 teacher step=3760/5000 loss=0.05275 lr=5.511e-05
n_plus_2 teacher step=3780/5000 loss=0.04486 lr=5.422e-05
n_plus_2 teacher step=3800/5000 loss=0.04907 lr=5.333e-05
n_plus_2 teacher step=3820/5000 loss=0.05269 lr=5.245e-05
n_plus_2 teacher step=3840/5000 loss=0.05046 lr=5.156e-05
n_plus_2 teacher step=3860/5000 loss=0.05097 lr=5.067e-05
n_plus_2 teacher step=3880/5000 loss=0.05741 lr=4.978e-05
n_plus_2 teacher step=3900/5000 loss=0.04649 lr=4.889e-05
n_plus_2 teacher step=3920/5000 loss=0.04919 lr=4.800e-05
n_plus_2 teacher step=3940/5000 loss=0.05227 lr=4.711e-05
n_plus_2 teacher step=3960/5000 loss=0.04944 lr=4.622e-05
n_plus_2 teacher step=3980/5000 loss=0.05447 lr=4.533e-05
n_plus_2 teacher step=4000/5000 loss=0.04818 lr=4.445e-05
n_plus_2 teacher step=4020/5000 loss=0.05021 lr=4.356e-05
n_plus_2 teacher step=4040/5000 loss=0.04510 lr=4.267e-05
