edge_id,head_id,relation_type,tail_id,confidence,evidence_ids,properties_json,graph_scope,active
edge_5a60f9efeba70b976550,kg_repeatunit_ru_56fce85d76aba979076f,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a635af437bc97d14228,kg_repeatunit_ru_de5ed8a5c20a82b161b0,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a69047c2af0bf522506,kg_repeatunit_ru_01affced08d097895114,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a694512bace9c0f8064,kg_datasetrecord_dr_e1461ade38e0a4077e0c,has_repeat_unit,kg_repeatunit_ru_3a659d3c18990e5ebac0,1.0,[],{},strict,true
edge_5a6d3ea4bb7c2370975a,kg_repeatunit_ru_857edf8f9b690ca8e76e,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a6e3bbc914e10710724,kg_repeatunit_ru_25e3a5eb49700793f65b,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a6f438a4a2133b4e1a8,kg_datasetrecord_dr_a91c4fc3be09507b5b14,has_repeat_unit,kg_repeatunit_ru_f90e1fe767d3ba4d86f0,1.0,[],{},strict,true
edge_5a6f51f5ff5f73ff79d3,kg_datasetrecord_dr_72358113b52af19129b6,has_repeat_unit,kg_repeatunit_ru_ef213e4201d320fd37a2,1.0,[],{},strict,true
edge_5a72f69deaa52598fb54,kg_repeatunit_ru_e3adc94238fbed463a3d,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5a752b8481490f9aca2c,kg_datasetrecord_dr_97ae66ab6f7375c246a4,has_repeat_unit,kg_repeatunit_ru_41a08819919e7b5f0dc1,1.0,[],{},strict,true
edge_5a75f52592cedc88e723,kg_datasetrecord_dr_3b0db72458c4c4328d6a,has_repeat_unit,kg_repeatunit_ru_ef1ee59152935f63e722,1.0,[],{},strict,true
edge_5a761cb5fcf704dea7d8,kg_datasetrecord_dr_0ee458695c42f033e36a,has_repeat_unit,kg_repeatunit_ru_4733c2a512293ae5a2be,1.0,[],{},strict,true
edge_5a7cc7a7b4c04450379e,kg_datasetrecord_dr_cb893d8186263495a11c,has_repeat_unit,kg_repeatunit_ru_5d01aa314e2cc3747d7c,1.0,[],{},strict,true
edge_5a7fef1bc8011ad5e84a,kg_repeatunit_ru_2db54ee23a9b4d0b709e,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
